Date,Open,High,Low,Close,Volume,Symbol,ma_7,ma_30,pct_change
2025-11-04,268.325,271.486,267.615,270.04,4.9274848E7,AAPL,269.615713936942,269.8856658935547,0.0
2025-11-04,268.325,271.486,267.615,270.04,4.9274848E7,AAPL,269.7571454729353,269.9266662597656,0.0
2025-11-05,268.61,271.7,266.93,270.14,4.2586288E7,AAPL,269.9128635951451,269.96466674804685,0.04
2025-11-05,268.61,271.7,266.93,270.14,4.2586288E7,AAPL,270.0685817173549,270.00266723632814,0.0
2025-11-05,268.61,271.7,266.93,270.14,4.2586288E7,AAPL,270.08286830357144,270.04066772460936,0.0
2025-11-05,268.61,271.7,266.93,270.14,4.2586288E7,AAPL,270.09715488978793,270.07866821289065,0.0
2025-11-05,268.61,271.7,266.93,270.14,4.2586288E7,AAPL,270.1114414760045,270.1166687011719,0.0
2025-11-06,267.89,273.4,267.89,269.77,5.1204044E7,AAPL,270.0728672572545,270.11900126139324,-0.14
2025-11-06,267.89,273.4,267.89,269.77,5.1204044E7,AAPL,270.0342930385045,270.1213338216146,0.0
2025-11-06,267.89,273.4,267.89,269.77,5.1204044E7,AAPL,269.98143223353793,270.12366638183596,0.0
2025-11-06,267.89,273.4,267.89,269.77,5.1204044E7,AAPL,269.92857142857144,270.12599894205727,0.0
2025-11-06,267.89,273.4,267.89,269.77,5.1204044E7,AAPL,269.8757106236049,270.1283315022786,0.0
2025-11-07,269.795,272.29,266.77,268.47,4.8227364E7,AAPL,269.6371372767857,270.0306650797526,-0.48
2025-11-07,269.795,272.29,266.77,268.47,4.8227364E7,AAPL,269.39856392996654,269.93299865722656,0.0
2025-11-07,269.795,272.29,266.77,268.47,4.8227364E7,AAPL,269.21285138811385,269.8353322347005,0.0
2025-11-07,269.795,272.29,266.77,268.47,4.8227364E7,AAPL,269.02713884626115,269.7376658121745,0.0
2025-11-07,269.795,272.29,266.77,268.47,4.8227364E7,AAPL,268.84142630440846,269.63999938964844,0.0
2025-11-10,268.96,273.73,267.455,269.43,4.1312412E7,AAPL,268.7928553989955,269.6086659749349,0.36
2025-11-10,268.96,273.73,267.455,269.43,4.1312412E7,AAPL,268.7442844935826,269.57733256022135,0.0
2025-11-10,268.96,273.73,267.455,269.43,4.1312412E7,AAPL,268.8814261300223,269.54599914550784,0.0
2025-11-10,268.96,273.73,267.455,269.43,4.1312412E7,AAPL,269.01856776646207,269.51466573079426,0.0
2025-11-10,268.96,273.73,267.455,269.43,4.1312412E7,AAPL,269.1557094029018,269.48333231608075,0.0
2025-11-11,269.81,275.91,269.8,275.25,4.620832E7,AAPL,270.12428065708707,269.68999938964845,2.16
2025-11-11,269.81,275.91,269.8,275.25,4.620832E7,AAPL,271.0928519112723,269.89666646321615,0.0
2025-11-11,269.81,275.91,269.8,275.25,4.620832E7,AAPL,271.92428152901783,270.10333353678385,0.0
2025-11-11,269.81,275.91,269.8,275.25,4.620832E7,AAPL,272.7557111467634,270.31000061035155,0.0
2025-11-11,269.81,275.91,269.8,275.25,4.620832E7,AAPL,273.58714076450894,270.51666768391925,0.0
2025-11-12,275.0,275.73,271.7,273.47,4.8397984E7,AAPL,274.1642848423549,270.63100077311196,-0.65
2025-11-12,275.0,275.73,271.7,273.47,4.8397984E7,AAPL,274.7414289202009,270.7453338623047,0.0
2025-11-12,275.0,275.73,271.7,273.47,4.8397984E7,AAPL,274.48714338030135,270.8596669514974,0.0
2025-11-12,275.0,275.73,271.7,273.47,4.8397984E7,AAPL,274.2328578404018,270.9740000406901,0.0
2025-11-12,275.0,275.73,271.7,273.47,4.8397984E7,AAPL,273.9785723005022,271.0883331298828,0.0
2025-11-13,274.11,276.699,272.09,272.95,4.9602792E7,AAPL,273.6500026157924,271.1819997151693,-0.19
2025-11-13,274.11,276.699,272.09,272.95,4.9602792E7,AAPL,273.3214329310826,271.2756663004557,0.0
2025-11-13,274.11,276.699,272.09,272.95,4.9602792E7,AAPL,273.2471487862723,271.3693328857422,0.0
2025-11-13,274.11,276.699,272.09,272.95,4.9602792E7,AAPL,273.17286464146207,271.46299947102864,0.0
2025-11-13,274.11,276.699,272.09,272.95,4.9602792E7,AAPL,273.0985804966518,271.5566660563151,0.0
2025-11-14,271.05,275.96,269.6,272.41,4.7431332E7,AAPL,272.9471522739955,271.64466654459636,-0.2
2025-11-14,271.05,275.96,269.6,272.41,4.7431332E7,AAPL,272.7957240513393,271.7326670328776,0.0
